timestamp,is_keyframe,frame_id,reproj_error_mean,reproj_error_median,feature_lifetime_mean,feature_lifetime_median,num_tracked_features,num_new_features,survival_rate,parallax_avg,imu_bias_acc_norm,imu_bias_gyr_norm,imu_bias_acc_delta,imu_bias_gyr_delta,optical_flow_mean,optical_flow_median,depth_mean,depth_variance,num_triangulated,solver_initial_cost,solver_final_cost,solver_iterations,solver_converged,solver_time_ms,marginalization_factor_cost,imu_factor_cost,visual_factor_cost,visual_factor_count,visual_factor_cost_avg,imu_preint_cov_trace_mean,imu_preint_cov_trace_latest,visual_meas_cov_trace,imu_visual_pos_disagreement,imu_visual_vel_disagreement,cov_valid,cov_marginal,cov_compute_ms,cov_pos_x,cov_pos_y,cov_pos_z,cov_pos_trace,cov_rot_x,cov_rot_y,cov_rot_z,cov_rot_trace,cov_vel_x,cov_vel_y,cov_vel_z,cov_vel_trace,cov_ba_x,cov_ba_y,cov_ba_z,cov_ba_trace,cov_bg_x,cov_bg_y,cov_bg_z,cov_bg_trace
18.320000000,1,459,1.569680,1.028049,2.514315,1.000000,156,100,0.609375,0.000000,0.190845,0.000743,0.000000,0.000000,0.735799,0.962196,20.289815,9191.855807,449,13770.51790344,10031.88038617,5,0,21.24905586,9097.17675166,208.27109460,726.43253991,1137,0.63890285,0.00000304,0.00000304,0.00000402,0.062782,1.569541,1,1,13.637871,0.001863,0.000944,0.000768,0.002225,0.000396,0.002102,0.000413,0.002178,0.006382,0.003205,0.002764,0.007658,0.003073,0.000868,0.003577,0.004795,0.000086,0.000091,0.000087,0.000153
18.400000000,1,461,2.247235,1.124545,2.441546,1.000000,143,113,0.558594,0.000000,0.195548,0.000723,0.000000,0.000000,0.632665,0.881665,17.805660,6891.678391,459,14001.52612558,10488.58410840,5,0,17.15016365,9010.13659183,229.88034848,1248.56716809,1158,1.07820999,0.00000304,0.00000304,0.00000402,0.062788,1.569671,1,1,12.598283,0.001950,0.000870,0.000703,0.002248,0.000389,0.002091,0.000401,0.002165,0.006452,0.003022,0.002545,0.007566,0.002954,0.000864,0.003502,0.004662,0.000086,0.000091,0.000087,0.000153
18.480000000,1,463,1.505679,1.124065,2.446705,1.000000,172,84,0.671875,85.892725,0.195715,0.000727,0.000000,0.000000,0.442283,0.552068,18.176449,6760.979740,471,13844.26857983,10016.11120005,5,0,20.71881294,9103.63525093,217.79941007,694.67653905,1170,0.59374063,0.00000304,0.00000304,0.00000402,0.062795,1.569837,1,1,13.821387,0.002049,0.000792,0.000707,0.002307,0.000389,0.002078,0.000394,0.002150,0.006648,0.002760,0.002563,0.007640,0.002816,0.000862,0.003444,0.004532,0.000086,0.000091,0.000087,0.000152
18.560000000,1,465,1.987966,1.296587,2.500490,1.000000,183,73,0.714844,58.334553,0.184207,0.000727,0.000000,0.000000,0.420222,0.491022,17.016325,6439.061460,480,14233.60097861,14233.60097861,5,0,8.28599930,12854.72639193,336.80982578,1042.06476091,1165,0.89447619,0.00000304,0.00000304,0.00000402,0.062784,1.569611,1,1,14.465274,0.002159,0.000788,0.000715,0.002407,0.000392,0.002065,0.000396,0.002139,0.006953,0.002754,0.002611,0.007921,0.002730,0.000860,0.003424,0.004463,0.000086,0.000091,0.000087,0.000152
18.640000000,1,468,1.654031,1.141045,2.527054,1.000000,183,73,0.714844,41.226691,0.195899,0.000762,0.000000,0.000000,0.360596,0.421371,20.381129,6583.320250,482,14618.04694544,10248.18347431,5,0,23.42200279,9150.46695371,290.86404125,806.85247934,1174,0.68726787,0.00000304,0.00000304,0.00000402,0.062552,1.563783,1,1,14.933900,0.002251,0.000764,0.000710,0.002481,0.000387,0.002048,0.000393,0.002121,0.007211,0.002764,0.002611,0.008152,0.002613,0.000857,0.003390,0.004365,0.000086,0.000090,0.000087,0.000152
18.720000000,1,469,2.677143,1.271070,2.618750,2.000000,197,59,0.769531,39.422280,0.199099,0.000797,0.000000,0.000000,0.263894,0.280446,41.735811,176167.583172,478,14667.38756912,11131.34511145,5,0,20.77412605,9203.30841251,273.07734344,1654.95935550,1219,1.35763688,0.00000304,0.00000304,0.00000402,0.062774,1.569413,1,1,14.025637,0.002370,0.000772,0.000672,0.002581,0.000383,0.002040,0.000390,0.002112,0.007538,0.002993,0.002514,0.008491,0.002532,0.000854,0.003357,0.004291,0.000085,0.000090,0.000087,0.000151
18.800000000,1,471,1.483542,0.956760,2.645542,1.000000,181,75,0.707031,29.132088,0.197617,0.000786,0.000000,0.000000,0.188752,0.178346,19.404050,6764.644453,454,13650.55362099,10252.23190221,5,0,21.34585381,9252.58046558,287.70658296,711.94485368,1207,0.58984661,0.00000304,0.00000304,0.00000402,0.062779,1.569518,1,1,14.087235,0.002531,0.000828,0.000701,0.002753,0.000381,0.002040,0.000389,0.002112,0.008020,0.003250,0.002613,0.009040,0.002513,0.000853,0.003344,0.004269,0.000085,0.000090,0.000087,0.000151
18.880000000,0,473,1.362744,0.904845,2.696216,2.000000,197,59,0.769531,16.833217,0.201609,0.000806,0.000000,0.000000,0.212568,0.176390,16.695836,1141.567965,465,13997.77261381,10662.83429639,5,0,21.58594131,9188.88313501,298.83725151,1175.11390987,1238,0.94920348,0.00000304,0.00000304,0.00000402,0.062789,1.569683,1,0,1.578358,0.000046,0.000046,0.000046,0.000080,0.000078,0.000076,0.000096,0.000145,0.001000,0.001000,0.000999,0.001732,0.000014,0.000014,0.000014,0.000024,0.000001,0.000001,0.000001,0.000002
18.960000000,1,476,1.033086,0.837932,2.652081,2.000000,207,49,0.808594,34.209877,0.197644,0.000841,0.000000,0.000000,0.148001,0.098898,16.723337,1102.747740,495,13338.27742324,9851.12063705,5,0,27.79006958,9180.04706637,301.00990024,370.06367044,1186,0.31202670,0.00000335,0.00000304,0.00000402,0.062793,1.569796,1,1,16.121389,0.007545,0.003340,0.020309,0.021921,0.000388,0.002038,0.000391,0.002111,0.008755,0.003408,0.002767,0.009794,0.002476,0.000851,0.003321,0.004229,0.000085,0.000090,0.000086,0.000151
19.040000000,0,477,1.618111,0.868386,2.737705,2.000000,205,51,0.800781,9.647225,0.201567,0.000849,0.000000,0.000000,0.137842,0.093161,16.143170,901.576297,478,13841.48988776,10292.34176953,5,0,22.56703377,9067.90845306,364.80471408,859.62860239,1227,0.70059381,0.00000335,0.00000304,0.00000402,0.062783,1.569577,1,0,1.655475,0.000046,0.000046,0.000046,0.000080,0.000078,0.000075,0.000095,0.000145,0.001001,0.001000,0.001000,0.001732,0.000014,0.000014,0.000014,0.000024,0.000001,0.000001,0.000001,0.000002
19.120000000,0,479,1.031894,0.858277,2.687229,2.000000,214,42,0.835938,16.458430,0.198263,0.000837,0.000000,0.000000,0.130449,0.108630,15.733331,856.801421,504,13384.88972115,9785.44017806,5,0,28.36799622,9058.43511114,358.21327010,368.79179682,1181,0.31227078,0.00000366,0.00000304,0.00000402,0.062788,1.569695,1,0,1.885613,0.000046,0.000046,0.000046,0.000080,0.000080,0.000078,0.000096,0.000147,0.001001,0.001001,0.001000,0.001733,0.000014,0.000014,0.000014,0.000024,0.000001,0.000001,0.000001,0.000002
19.200000000,1,482,1.041108,0.847828,2.625527,2.000000,209,47,0.816406,21.923805,0.198633,0.000835,0.000000,0.000000,0.171056,0.142450,15.303220,832.763717,521,13111.95579878,9782.04114629,5,0,31.70800209,9058.64553831,356.12934289,367.26626509,1159,0.31688202,0.00000399,0.00000304,0.00000402,0.062785,1.569611,1,1,17.176240,0.008286,0.003523,0.020346,0.022249,0.000396,0.002032,0.000390,0.002107,0.009974,0.003787,0.002930,0.011064,0.002405,0.000846,0.003288,0.004160,0.000085,0.000089,0.000086,0.000150
